6,48,12.50%
4,76,5.30%
4,17,23.50%
0,1,0.00%
,,#DIV/0!
,,#DIV/0!
9,180,5.00%
13,208,6.30%
11,96,11.50%
6,305,2.00%
0,6,0.00%
0,29,0.00%
2,19,10.50%
,,#DIV/0!
,,#DIV/0!
1,7,14.30%
,,#DIV/0!
4,96,4.20%
2,33,6.10%
23,306,7.50%
7,128,5.50%
,,#DIV/0!
2,57,3.50%
7,76,9.20%
,,#DIV/0!
3,87,3.40%
8,97,8.20%
0,7,0.00%
0,25,0.00%
,,#DIV/0!
2,31,6.50%
,,
,,
,,#DIV/0!
1,12,8.30%
,,#DIV/0!
4,24,16.70%
,,#DIV/0!
0,2,0.00%
,,#DIV/0!
119,1973,6.00%
